"","Class","Sex","Age","Survived"
"218","2nd","Male","Adult","No"
"921","Crew","Male","Adult","No"
"2084","2nd","Female","Adult","Yes"
"1888","1st","Female","Adult","Yes"
"1874","Crew","Male","Adult","Yes"
"370","3rd","Male","Adult","No"
"276","2nd","Male","Adult","No"
"1379","Crew","Male","Adult","No"
"725","Crew","Male","Adult","No"
"1385","1st","Female","Adult","No"
"676","3rd","Male","Adult","No"
"396","3rd","Male","Adult","No"
"1647","3rd","Male","Adult","Yes"
"197","2nd","Male","Adult","No"
"982","Crew","Male","Adult","No"
"1076","Crew","Male","Adult","No"
"1261","Crew","Male","Adult","No"
"699","3rd","Male","Adult","No"
"1026","Crew","Male","Adult","No"
"2003","1st","Female","Adult","Yes"
"1013","Crew","Male","Adult","No"
"1867","Crew","Male","Adult","Yes"
"1916","1st","Female","Adult","Yes"
"1275","Crew","Male","Adult","No"
"860","Crew","Male","Adult","No"
"308","2nd","Male","Adult","No"
"1956","1st","Female","Adult","Yes"
"630","3rd","Male","Adult","No"
"127","1st","Male","Adult","No"
"1979","1st","Female","Adult","Yes"
"1504","2nd","Male","Child","Yes"
"297","2nd","Male","Adult","No"
"1146","Crew","Male","Adult","No"
"1989","1st","Female","Adult","Yes"
"1220","Crew","Male","Adult","No"
"843","Crew","Male","Adult","No"
"1349","Crew","Male","Adult","No"
"666","3rd","Male","Adult","No"
"640","3rd","Male","Adult","No"
"457","3rd","Male","Adult","No"
"768","Crew","Male","Adult","No"
"2044","2nd","Female","Adult","Yes"
"2172","3rd","Female","Adult","Yes"
"189","2nd","Male","Adult","No"
"295","2nd","Male","Adult","No"
"1430","3rd","Female","Adult","No"
"1283","Crew","Male","Adult","No"
"1846","Crew","Male","Adult","Yes"
"1393","2nd","Female","Adult","No"
"1525","2nd","Female","Child","Yes"
"1078","Crew","Male","Adult","No"
"1364","Crew","Male","Adult","No"
"1698","Crew","Male","Adult","Yes"
"1623","3rd","Male","Adult","Yes"
"2022","1st","Female","Adult","Yes"
"907","Crew","Male","Adult","No"
"643","3rd","Male","Adult","No"
"844","Crew","Male","Adult","No"
"22","3rd","Male","Child","No"
"379","3rd","Male","Adult","No"
"2134","3rd","Female","Adult","Yes"
"476","3rd","Male","Adult","No"
"492","3rd","Male","Adult","No"
"158","1st","Male","Adult","No"
"505","3rd","Male","Adult","No"
"1503","2nd","Male","Child","Yes"
"1739","Crew","Male","Adult","Yes"
"1020","Crew","Male","Adult","No"
"795","Crew","Male","Adult","No"
"2053","2nd","Female","Adult","Yes"
"228","2nd","Male","Adult","No"
"798","Crew","Male","Adult","No"
"1170","Crew","Male","Adult","No"
"2146","3rd","Female","Adult","Yes"
"909","Crew","Male","Adult","No"
"446","3rd","Male","Adult","No"
"2099","2nd","Female","Adult","Yes"
"722","Crew","Male","Adult","No"
"1326","Crew","Male","Adult","No"
"764","Crew","Male","Adult","No"
"2109","3rd","Female","Adult","Yes"
"1087","Crew","Male","Adult","No"
"1507","3rd","Male","Child","Yes"
"450","3rd","Male","Adult","No"
"840","Crew","Male","Adult","No"
"540","3rd","Male","Adult","No"
"1280","Crew","Male","Adult","No"
"374","3rd","Male","Adult","No"
"1753","Crew","Male","Adult","Yes"
"1515","3rd","Male","Child","Yes"
"1355","Crew","Male","Adult","No"
"2188","Crew","Female","Adult","Yes"
"754","Crew","Male","Adult","No"
"1073","Crew","Male","Adult","No"
"1770","Crew","Male","Adult","Yes"
"1177","Crew","Male","Adult","No"
"2065","2nd","Female","Adult","Yes"
"632","3rd","Male","Adult","No"
"1431","3rd","Female","Adult","No"
"535","3rd","Male","Adult","No"
"1199","Crew","Male","Adult","No"
"971","Crew","Male","Adult","No"
"2018","1st","Female","Adult","Yes"
"1138","Crew","Male","Adult","No"
"1839","Crew","Male","Adult","Yes"
"1815","Crew","Male","Adult","Yes"
"552","3rd","Male","Adult","No"
"647","3rd","Male","Adult","No"
"1981","1st","Female","Adult","Yes"
"1245","Crew","Male","Adult","No"
"1882","Crew","Male","Adult","Yes"
"936","Crew","Male","Adult","No"
"816","Crew","Male","Adult","No"
"1322","Crew","Male","Adult","No"
"306","2nd","Male","Adult","No"
"1147","Crew","Male","Adult","No"
"478","3rd","Male","Adult","No"
"1925","1st","Female","Adult","Yes"
"1203","Crew","Male","Adult","No"
"1030","Crew","Male","Adult","No"
"804","Crew","Male","Adult","No"
"1757","Crew","Male","Adult","Yes"
"727","Crew","Male","Adult","No"
"575","3rd","Male","Adult","No"
"341","3rd","Male","Adult","No"
"343","3rd","Male","Adult","No"
"960","Crew","Male","Adult","No"
"504","3rd","Male","Adult","No"
"431","3rd","Male","Adult","No"
"2130","3rd","Female","Adult","Yes"
"95","1st","Male","Adult","No"
"1392","2nd","Female","Adult","No"
"2100","2nd","Female","Adult","Yes"
"812","Crew","Male","Adult","No"
"1628","3rd","Male","Adult","Yes"
"1822","Crew","Male","Adult","Yes"
"560","3rd","Male","Adult","No"
"1903","1st","Female","Adult","Yes"
"1442","3rd","Female","Adult","No"
"1358","Crew","Male","Adult","No"
"105","1st","Male","Adult","No"
"781","Crew","Male","Adult","No"
"944","Crew","Male","Adult","No"
"1106","Crew","Male","Adult","No"
"1378","Crew","Male","Adult","No"
"1806","Crew","Male","Adult","Yes"
"1219","Crew","Male","Adult","No"
"2060","2nd","Female","Adult","Yes"
"1068","Crew","Male","Adult","No"
"116","1st","Male","Adult","No"
"514","3rd","Male","Adult","No"
"1976","1st","Female","Adult","Yes"
"389","3rd","Male","Adult","No"
"1634","3rd","Male","Adult","Yes"
"301","2nd","Male","Adult","No"
"1577","1st","Male","Adult","Yes"
"2024","1st","Female","Adult","Yes"
"1299","Crew","Male","Adult","No"
"337","3rd","Male","Adult","No"
"1240","Crew","Male","Adult","No"
"611","3rd","Male","Adult","No"
"1418","3rd","Female","Adult","No"
"780","Crew","Male","Adult","No"
"1895","1st","Female","Adult","Yes"
"1890","1st","Female","Adult","Yes"
"1419","3rd","Female","Adult","No"
"502","3rd","Male","Adult","No"
"433","3rd","Male","Adult","No"
"1156","Crew","Male","Adult","No"
"522","3rd","Male","Adult","No"
"1034","Crew","Male","Adult","No"
"1529","2nd","Female","Child","Yes"
"327","3rd","Male","Adult","No"
"787","Crew","Male","Adult","No"
"917","Crew","Male","Adult","No"
"1686","3rd","Male","Adult","Yes"
"1797","Crew","Male","Adult","Yes"
"1712","Crew","Male","Adult","Yes"
"1308","Crew","Male","Adult","No"
"1842","Crew","Male","Adult","Yes"
"2192","Crew","Female","Adult","Yes"
"1117","Crew","Male","Adult","No"
"651","3rd","Male","Adult","No"
"672","3rd","Male","Adult","No"
"39","3rd","Female","Child","No"
"972","Crew","Male","Adult","No"
"1682","3rd","Male","Adult","Yes"
"13","3rd","Male","Child","No"
"139","1st","Male","Adult","No"
"317","2nd","Male","Adult","No"
"1485","3rd","Female","Adult","No"
"1416","3rd","Female","Adult","No"
"1871","Crew","Male","Adult","Yes"
"898","Crew","Male","Adult","No"
"144","1st","Male","Adult","No"
"1248","Crew","Male","Adult","No"
"1458","3rd","Female","Adult","No"
"264","2nd","Male","Adult","No"
"762","Crew","Male","Adult","No"
"432","3rd","Male","Adult","No"
"112","1st","Male","Adult","No"
"759","Crew","Male","Adult","No"
"125","1st","Male","Adult","No"
"1950","1st","Female","Adult","Yes"
"1977","1st","Female","Adult","Yes"
"1282","Crew","Male","Adult","No"
"569","3rd","Male","Adult","No"
"193","2nd","Male","Adult","No"
"138","1st","Male","Adult","No"
"1680","3rd","Male","Adult","Yes"
"1439","3rd","Female","Adult","No"
"1557","1st","Male","Adult","Yes"
"2000","1st","Female","Adult","Yes"
"198","2nd","Male","Adult","No"
"2074","2nd","Female","Adult","Yes"
"1520","1st","Female","Child","Yes"
"1492","1st","Male","Child","Yes"
"18","3rd","Male","Child","No"
"1480","3rd","Female","Adult","No"
"2108","3rd","Female","Adult","Yes"
"1196","Crew","Male","Adult","No"
"912","Crew","Male","Adult","No"
"2086","2nd","Female","Adult","Yes"
"16","3rd","Male","Child","No"
"857","Crew","Male","Adult","No"
"932","Crew","Male","Adult","No"
"737","Crew","Male","Adult","No"
"879","Crew","Male","Adult","No"
"1348","Crew","Male","Adult","No"
"1913","1st","Female","Adult","Yes"
"670","3rd","Male","Adult","No"
"2028","2nd","Female","Adult","Yes"
"1576","1st","Male","Adult","Yes"
"448","3rd","Male","Adult","No"
"667","3rd","Male","Adult","No"
"1613","2nd","Male","Adult","Yes"
"1606","2nd","Male","Adult","Yes"
"557","3rd","Male","Adult","No"
"277","2nd","Male","Adult","No"
"1323","Crew","Male","Adult","No"
"195","2nd","Male","Adult","No"
"64","1st","Male","Adult","No"
"2113","3rd","Female","Adult","Yes"
"66","1st","Male","Adult","No"
"634","3rd","Male","Adult","No"
"1713","Crew","Male","Adult","Yes"
"1155","Crew","Male","Adult","No"
"536","3rd","Male","Adult","No"
"2110","3rd","Female","Adult","Yes"
"1559","1st","Male","Adult","Yes"
"2138","3rd","Female","Adult","Yes"
"920","Crew","Male","Adult","No"
"1301","Crew","Male","Adult","No"
"1897","1st","Female","Adult","Yes"
"1200","Crew","Male","Adult","No"
"1821","Crew","Male","Adult","Yes"
"772","Crew","Male","Adult","No"
"223","2nd","Male","Adult","No"
"978","Crew","Male","Adult","No"
"419","3rd","Male","Adult","No"
"904","Crew","Male","Adult","No"
"688","3rd","Male","Adult","No"
"1825","Crew","Male","Adult","Yes"
"720","Crew","Male","Adult","No"
"425","3rd","Male","Adult","No"
"1905","1st","Female","Adult","Yes"
"253","2nd","Male","Adult","No"
"1790","Crew","Male","Adult","Yes"
"953","Crew","Male","Adult","No"
"302","2nd","Male","Adult","No"
"1149","Crew","Male","Adult","No"
"1862","Crew","Male","Adult","Yes"
"1234","Crew","Male","Adult","No"
"773","Crew","Male","Adult","No"
"596","3rd","Male","Adult","No"
"1539","3rd","Female","Child","Yes"
"265","2nd","Male","Adult","No"
"355","3rd","Male","Adult","No"
"1650","3rd","Male","Adult","Yes"
"567","3rd","Male","Adult","No"
"668","3rd","Male","Adult","No"
"1440","3rd","Female","Adult","No"
"1840","Crew","Male","Adult","Yes"
"33","3rd","Male","Child","No"
"746","Crew","Male","Adult","No"
"886","Crew","Male","Adult","No"
"1844","Crew","Male","Adult","Yes"
"628","3rd","Male","Adult","No"
"1585","1st","Male","Adult","Yes"
"832","Crew","Male","Adult","No"
"976","Crew","Male","Adult","No"
"1760","Crew","Male","Adult","Yes"
"1414","3rd","Female","Adult","No"
"381","3rd","Male","Adult","No"
"563","3rd","Male","Adult","No"
"2023","1st","Female","Adult","Yes"
"1066","Crew","Male","Adult","No"
"1898","1st","Female","Adult","Yes"
"678","3rd","Male","Adult","No"
"1399","3rd","Female","Adult","No"
"977","Crew","Male","Adult","No"
"1660","3rd","Male","Adult","Yes"
"1959","1st","Female","Adult","Yes"
"512","3rd","Male","Adult","No"
"173","2nd","Male","Adult","No"
"382","3rd","Male","Adult","No"
"1982","1st","Female","Adult","Yes"
"537","3rd","Male","Adult","No"
"1314","Crew","Male","Adult","No"
"1421","3rd","Female","Adult","No"
"191","2nd","Male","Adult","No"
"1914","1st","Female","Adult","Yes"
"489","3rd","Male","Adult","No"
"183","2nd","Male","Adult","No"
"213","2nd","Male","Adult","No"
"1787","Crew","Male","Adult","Yes"
"1776","Crew","Male","Adult","Yes"
"247","2nd","Male","Adult","No"
"1629","3rd","Male","Adult","Yes"
"1037","Crew","Male","Adult","No"
"711","3rd","Male","Adult","No"
"2125","3rd","Female","Adult","Yes"
"1269","Crew","Male","Adult","No"
"149","1st","Male","Adult","No"
"609","3rd","Male","Adult","No"
"2182","Crew","Female","Adult","Yes"
"568","3rd","Male","Adult","No"
"1489","Crew","Female","Adult","No"
"385","3rd","Male","Adult","No"
"891","Crew","Male","Adult","No"
"494","3rd","Male","Adult","No"
"1992","1st","Female","Adult","Yes"
"1697","Crew","Male","Adult","Yes"
"574","3rd","Male","Adult","No"
"854","Crew","Male","Adult","No"
"50","3rd","Female","Child","No"
"1827","Crew","Male","Adult","Yes"
"2002","1st","Female","Adult","Yes"
"1061","Crew","Male","Adult","No"
"2153","3rd","Female","Adult","Yes"
"1584","1st","Male","Adult","Yes"
"1113","Crew","Male","Adult","No"
"2185","Crew","Female","Adult","Yes"
"2163","3rd","Female","Adult","Yes"
"285","2nd","Male","Adult","No"
"1946","1st","Female","Adult","Yes"
"1688","3rd","Male","Adult","Yes"
"998","Crew","Male","Adult","No"
"583","3rd","Male","Adult","No"
"1763","Crew","Male","Adult","Yes"
"415","3rd","Male","Adult","No"
"1082","Crew","Male","Adult","No"
"1807","Crew","Male","Adult","Yes"
"2093","2nd","Female","Adult","Yes"
"176","2nd","Male","Adult","No"
"284","2nd","Male","Adult","No"
"499","3rd","Male","Adult","No"
"1028","Crew","Male","Adult","No"
"1288","Crew","Male","Adult","No"
"291","2nd","Male","Adult","No"
"1523","2nd","Female","Child","Yes"
"2008","1st","Female","Adult","Yes"
"1335","Crew","Male","Adult","No"
"258","2nd","Male","Adult","No"
"1830","Crew","Male","Adult","Yes"
"1180","Crew","Male","Adult","No"
"918","Crew","Male","Adult","No"
"613","3rd","Male","Adult","No"
"421","3rd","Male","Adult","No"
"102","1st","Male","Adult","No"
"414","3rd","Male","Adult","No"
"1555","1st","Male","Adult","Yes"
"2120","3rd","Female","Adult","Yes"
"1304","Crew","Male","Adult","No"
"271","2nd","Male","Adult","No"
"2117","3rd","Female","Adult","Yes"
"1785","Crew","Male","Adult","Yes"
"2095","2nd","Female","Adult","Yes"
"807","Crew","Male","Adult","No"
"288","2nd","Male","Adult","No"
"1017","Crew","Male","Adult","No"
"471","3rd","Male","Adult","No"
"400","3rd","Male","Adult","No"
"2017","1st","Female","Adult","Yes"
"491","3rd","Male","Adult","No"
"1404","3rd","Female","Adult","No"
"163","1st","Male","Adult","No"
"1423","3rd","Female","Adult","No"
"740","Crew","Male","Adult","No"
"1307","Crew","Male","Adult","No"
"1144","Crew","Male","Adult","No"
"2077","2nd","Female","Adult","Yes"
"1766","Crew","Male","Adult","Yes"
"1","3rd","Male","Child","No"
"375","3rd","Male","Adult","No"
"1214","Crew","Male","Adult","No"
"371","3rd","Male","Adult","No"
"1400","3rd","Female","Adult","No"
"530","3rd","Male","Adult","No"
"1182","Crew","Male","Adult","No"
"1602","1st","Male","Adult","Yes"
"199","2nd","Male","Adult","No"
"220","2nd","Male","Adult","No"
"1163","Crew","Male","Adult","No"
"735","Crew","Male","Adult","No"
"1429","3rd","Female","Adult","No"
"1663","3rd","Male","Adult","Yes"
"121","1st","Male","Adult","No"
"786","Crew","Male","Adult","No"
"2057","2nd","Female","Adult","Yes"
"1794","Crew","Male","Adult","Yes"
"1694","Crew","Male","Adult","Yes"
"1918","1st","Female","Adult","Yes"
"85","1st","Male","Adult","No"
"1169","Crew","Male","Adult","No"
"1340","Crew","Male","Adult","No"
"602","3rd","Male","Adult","No"
"623","3rd","Male","Adult","No"
"488","3rd","Male","Adult","No"
"136","1st","Male","Adult","No"
"621","3rd","Male","Adult","No"
"1848","Crew","Male","Adult","Yes"
"2043","2nd","Female","Adult","Yes"
"1783","Crew","Male","Adult","Yes"
"1600","1st","Male","Adult","Yes"
"578","3rd","Male","Adult","No"
"1709","Crew","Male","Adult","Yes"
"140","1st","Male","Adult","No"
"1453","3rd","Female","Adult","No"
"1837","Crew","Male","Adult","Yes"
"1242","Crew","Male","Adult","No"
"290","2nd","Male","Adult","No"
"767","Crew","Male","Adult","No"
"1298","Crew","Male","Adult","No"
"106","1st","Male","Adult","No"
"1371","Crew","Male","Adult","No"
"507","3rd","Male","Adult","No"
"1750","Crew","Male","Adult","Yes"
"525","3rd","Male","Adult","No"
"63","1st","Male","Adult","No"
"871","Crew","Male","Adult","No"
"1139","Crew","Male","Adult","No"
"1513","3rd","Male","Child","Yes"
"43","3rd","Female","Child","No"
"1655","3rd","Male","Adult","Yes"
"1681","3rd","Male","Adult","Yes"
"1570","1st","Male","Adult","Yes"
"2152","3rd","Female","Adult","Yes"
"2123","3rd","Female","Adult","Yes"
"1362","Crew","Male","Adult","No"
"1875","Crew","Male","Adult","Yes"
"1232","Crew","Male","Adult","No"
"581","3rd","Male","Adult","No"
"1380","Crew","Male","Adult","No"
"1788","Crew","Male","Adult","Yes"
"2078","2nd","Female","Adult","Yes"
"1331","Crew","Male","Adult","No"
"153","1st","Male","Adult","No"
"1381","Crew","Male","Adult","No"
"460","3rd","Male","Adult","No"
"1922","1st","Female","Adult","Yes"
"1597","1st","Male","Adult","Yes"
"135","1st","Male","Adult","No"
"1855","Crew","Male","Adult","Yes"
"1327","Crew","Male","Adult","No"
"637","3rd","Male","Adult","No"
"541","3rd","Male","Adult","No"
"339","3rd","Male","Adult","No"
"939","Crew","Male","Adult","No"
"1464","3rd","Female","Adult","No"
"873","Crew","Male","Adult","No"
"967","Crew","Male","Adult","No"
"1096","Crew","Male","Adult","No"
"872","Crew","Male","Adult","No"
"838","Crew","Male","Adult","No"
"27","3rd","Male","Child","No"
"79","1st","Male","Adult","No"
"2068","2nd","Female","Adult","Yes"
"2101","2nd","Female","Adult","Yes"
"330","3rd","Male","Adult","No"
"1065","Crew","Male","Adult","No"
"1070","Crew","Male","Adult","No"
"2010","1st","Female","Adult","Yes"
"1328","Crew","Male","Adult","No"
"2159","3rd","Female","Adult","Yes"
"1445","3rd","Female","Adult","No"
"903","Crew","Male","Adult","No"
"1477","3rd","Female","Adult","No"
"957","Crew","Male","Adult","No"
"690","3rd","Male","Adult","No"
"1545","3rd","Female","Child","Yes"
"1153","Crew","Male","Adult","No"
"1934","1st","Female","Adult","Yes"
"30","3rd","Male","Child","No"
"1866","Crew","Male","Adult","Yes"
"2049","2nd","Female","Adult","Yes"
"2141","3rd","Female","Adult","Yes"
"1317","Crew","Male","Adult","No"
"1383","1st","Female","Adult","No"
"1843","Crew","Male","Adult","Yes"
"1654","3rd","Male","Adult","Yes"
"245","2nd","Male","Adult","No"
"456","3rd","Male","Adult","No"
"1077","Crew","Male","Adult","No"
"1962","1st","Female","Adult","Yes"
"940","Crew","Male","Adult","No"
"849","Crew","Male","Adult","No"
"98","1st","Male","Adult","No"
"1560","1st","Male","Adult","Yes"
"194","2nd","Male","Adult","No"
"142","1st","Male","Adult","No"
"1415","3rd","Female","Adult","No"
"2005","1st","Female","Adult","Yes"
"542","3rd","Male","Adult","No"
"1434","3rd","Female","Adult","No"
"52","3rd","Female","Child","No"
"380","3rd","Male","Adult","No"
"1099","Crew","Male","Adult","No"
"362","3rd","Male","Adult","No"
"509","3rd","Male","Adult","No"
"278","2nd","Male","Adult","No"
"2031","2nd","Female","Adult","Yes"
"234","2nd","Male","Adult","No"
"1312","Crew","Male","Adult","No"
"528","3rd","Male","Adult","No"
"1618","2nd","Male","Adult","Yes"
"1002","Crew","Male","Adult","No"
"154","1st","Male","Adult","No"
"35","3rd","Male","Child","No"
"2007","1st","Female","Adult","Yes"
"927","Crew","Male","Adult","No"
"2170","3rd","Female","Adult","Yes"
"1617","2nd","Male","Adult","Yes"
"1864","Crew","Male","Adult","Yes"
"1551","1st","Male","Adult","Yes"
"70","1st","Male","Adult","No"
"1940","1st","Female","Adult","Yes"
"1368","Crew","Male","Adult","No"
"1225","Crew","Male","Adult","No"
"595","3rd","Male","Adult","No"
"67","1st","Male","Adult","No"
"1994","1st","Female","Adult","Yes"
"1705","Crew","Male","Adult","Yes"
"1339","Crew","Male","Adult","No"
"571","3rd","Male","Adult","No"
"479","3rd","Male","Adult","No"
"1193","Crew","Male","Adult","No"
"1653","3rd","Male","Adult","Yes"
"719","Crew","Male","Adult","No"
"1145","Crew","Male","Adult","No"
"164","1st","Male","Adult","No"
"345","3rd","Male","Adult","No"
"1493","1st","Male","Child","Yes"
"2063","2nd","Female","Adult","Yes"
"1281","Crew","Male","Adult","No"
"653","3rd","Male","Adult","No"
"1587","1st","Male","Adult","Yes"
"1247","Crew","Male","Adult","No"
"1386","2nd","Female","Adult","No"
"601","3rd","Male","Adult","No"
"141","1st","Male","Adult","No"
"974","Crew","Male","Adult","No"
"2195","Crew","Female","Adult","Yes"
"133","1st","Male","Adult","No"
"467","3rd","Male","Adult","No"
"954","Crew","Male","Adult","No"
"1168","Crew","Male","Adult","No"
"1422","3rd","Female","Adult","No"
"1891","1st","Female","Adult","Yes"
"878","Crew","Male","Adult","No"
"1140","Crew","Male","Adult","No"
"2039","2nd","Female","Adult","Yes"
"1405","3rd","Female","Adult","No"
"88","1st","Male","Adult","No"
"776","Crew","Male","Adult","No"
"1651","3rd","Male","Adult","Yes"
"1744","Crew","Male","Adult","Yes"
"1687","3rd","Male","Adult","Yes"
"181","2nd","Male","Adult","No"
"1097","Crew","Male","Adult","No"
"1599","1st","Male","Adult","Yes"
"2186","Crew","Female","Adult","Yes"
"1437","3rd","Female","Adult","No"
"242","2nd","Male","Adult","No"
"992","Crew","Male","Adult","No"
"266","2nd","Male","Adult","No"
"31","3rd","Male","Child","No"
"2046","2nd","Female","Adult","Yes"
"132","1st","Male","Adult","No"
"1972","1st","Female","Adult","Yes"
"2061","2nd","Female","Adult","Yes"
"897","Crew","Male","Adult","No"
"1231","Crew","Male","Adult","No"
"2092","2nd","Female","Adult","Yes"
"700","3rd","Male","Adult","No"
"683","3rd","Male","Adult","No"
"1936","1st","Female","Adult","Yes"
"2036","2nd","Female","Adult","Yes"
"1263","Crew","Male","Adult","No"
"1346","Crew","Male","Adult","No"
"1446","3rd","Female","Adult","No"
"835","Crew","Male","Adult","No"
"792","Crew","Male","Adult","No"
"259","2nd","Male","Adult","No"
"726","Crew","Male","Adult","No"
"384","3rd","Male","Adult","No"
"61","1st","Male","Adult","No"
"2136","3rd","Female","Adult","Yes"
"815","Crew","Male","Adult","No"
"212","2nd","Male","Adult","No"
"428","3rd","Male","Adult","No"
"1953","1st","Female","Adult","Yes"
"249","2nd","Male","Adult","No"
"145","1st","Male","Adult","No"
"645","3rd","Male","Adult","No"
"2015","1st","Female","Adult","Yes"
"1795","Crew","Male","Adult","Yes"
"391","3rd","Male","Adult","No"
"1589","1st","Male","Adult","Yes"
"2174","3rd","Female","Adult","Yes"
"2162","3rd","Female","Adult","Yes"
"946","Crew","Male","Adult","No"
"817","Crew","Male","Adult","No"
"1823","Crew","Male","Adult","Yes"
"1656","3rd","Male","Adult","Yes"
"2079","2nd","Female","Adult","Yes"
"941","Crew","Male","Adult","No"
"777","Crew","Male","Adult","No"
"983","Crew","Male","Adult","No"
"1086","Crew","Male","Adult","No"
"724","Crew","Male","Adult","No"
"572","3rd","Male","Adult","No"
"11","3rd","Male","Child","No"
"6","3rd","Male","Child","No"
"1476","3rd","Female","Adult","No"
"160","1st","Male","Adult","No"
"2137","3rd","Female","Adult","Yes"
"1063","Crew","Male","Adult","No"
"1693","3rd","Male","Adult","Yes"
"1289","Crew","Male","Adult","No"
"1924","1st","Female","Adult","Yes"
"1521","2nd","Female","Child","Yes"
"1250","Crew","Male","Adult","No"
"1857","Crew","Male","Adult","Yes"
"1703","Crew","Male","Adult","Yes"
"34","3rd","Male","Child","No"
"614","3rd","Male","Adult","No"
"1287","Crew","Male","Adult","No"
"2150","3rd","Female","Adult","Yes"
"1978","1st","Female","Adult","Yes"
"1851","Crew","Male","Adult","Yes"
"463","3rd","Male","Adult","No"
"1179","Crew","Male","Adult","No"
"1448","3rd","Female","Adult","No"
"472","3rd","Male","Adult","No"
"2128","3rd","Female","Adult","Yes"
"1450","3rd","Female","Adult","No"
"217","2nd","Male","Adult","No"
"73","1st","Male","Adult","No"
"1677","3rd","Male","Adult","Yes"
"2164","3rd","Female","Adult","Yes"
"769","Crew","Male","Adult","No"
"1158","Crew","Male","Adult","No"
"2196","Crew","Female","Adult","Yes"
"1010","Crew","Male","Adult","No"
"1973","1st","Female","Adult","Yes"
"404","3rd","Male","Adult","No"
"1537","3rd","Female","Child","Yes"
"232","2nd","Male","Adult","No"
"104","1st","Male","Adult","No"
"2051","2nd","Female","Adult","Yes"
"709","3rd","Male","Adult","No"
"715","Crew","Male","Adult","No"
"2071","2nd","Female","Adult","Yes"
"53","1st","Male","Adult","No"
"294","2nd","Male","Adult","No"
"741","Crew","Male","Adult","No"
"1993","1st","Female","Adult","Yes"
"829","Crew","Male","Adult","No"
"694","3rd","Male","Adult","No"
"819","Crew","Male","Adult","No"
"208","2nd","Male","Adult","No"
"210","2nd","Male","Adult","No"
"592","3rd","Male","Adult","No"
"979","Crew","Male","Adult","No"
"2006","1st","Female","Adult","Yes"
"1311","Crew","Male","Adult","No"
"1714","Crew","Male","Adult","Yes"
"966","Crew","Male","Adult","No"
"1154","Crew","Male","Adult","No"
"1804","Crew","Male","Adult","Yes"
"358","3rd","Male","Adult","No"
