"","Class","Sex","Age","Survived"
"948","Crew","Male","Adult","No"
"950","Crew","Male","Adult","No"
"970","Crew","Male","Adult","No"
"973","Crew","Male","Adult","No"
"984","Crew","Male","Adult","No"
"991","Crew","Male","Adult","No"
"994","Crew","Male","Adult","No"
"996","Crew","Male","Adult","No"
"1000","Crew","Male","Adult","No"
"1003","Crew","Male","Adult","No"
"1005","Crew","Male","Adult","No"
"1006","Crew","Male","Adult","No"
"1014","Crew","Male","Adult","No"
"1018","Crew","Male","Adult","No"
"1022","Crew","Male","Adult","No"
"1031","Crew","Male","Adult","No"
"1032","Crew","Male","Adult","No"
"1033","Crew","Male","Adult","No"
"1041","Crew","Male","Adult","No"
"1043","Crew","Male","Adult","No"
"1046","Crew","Male","Adult","No"
"1048","Crew","Male","Adult","No"
"1052","Crew","Male","Adult","No"
"1054","Crew","Male","Adult","No"
"1057","Crew","Male","Adult","No"
"1062","Crew","Male","Adult","No"
"1067","Crew","Male","Adult","No"
"1075","Crew","Male","Adult","No"
"1079","Crew","Male","Adult","No"
"1083","Crew","Male","Adult","No"
"1084","Crew","Male","Adult","No"
"1090","Crew","Male","Adult","No"
"1093","Crew","Male","Adult","No"
"1094","Crew","Male","Adult","No"
"1100","Crew","Male","Adult","No"
"1105","Crew","Male","Adult","No"
"1109","Crew","Male","Adult","No"
"1111","Crew","Male","Adult","No"
"1114","Crew","Male","Adult","No"
"1115","Crew","Male","Adult","No"
"1116","Crew","Male","Adult","No"
"1120","Crew","Male","Adult","No"
"1123","Crew","Male","Adult","No"
"1125","Crew","Male","Adult","No"
"1136","Crew","Male","Adult","No"
"1141","Crew","Male","Adult","No"
"1148","Crew","Male","Adult","No"
"1159","Crew","Male","Adult","No"
"1165","Crew","Male","Adult","No"
"1172","Crew","Male","Adult","No"
"1183","Crew","Male","Adult","No"
"1187","Crew","Male","Adult","No"
"1188","Crew","Male","Adult","No"
"1198","Crew","Male","Adult","No"
"1211","Crew","Male","Adult","No"
"1213","Crew","Male","Adult","No"
"1222","Crew","Male","Adult","No"
"1227","Crew","Male","Adult","No"
"1230","Crew","Male","Adult","No"
"1236","Crew","Male","Adult","No"
"1237","Crew","Male","Adult","No"
"1246","Crew","Male","Adult","No"
"1249","Crew","Male","Adult","No"
"1251","Crew","Male","Adult","No"
"1259","Crew","Male","Adult","No"
"1266","Crew","Male","Adult","No"
"1270","Crew","Male","Adult","No"
"1276","Crew","Male","Adult","No"
"1286","Crew","Male","Adult","No"
"1290","Crew","Male","Adult","No"
"1291","Crew","Male","Adult","No"
"1294","Crew","Male","Adult","No"
"1300","Crew","Male","Adult","No"
"1303","Crew","Male","Adult","No"
"1316","Crew","Male","Adult","No"
"1329","Crew","Male","Adult","No"
"1332","Crew","Male","Adult","No"
"1344","Crew","Male","Adult","No"
"1350","Crew","Male","Adult","No"
"1354","Crew","Male","Adult","No"
"1357","Crew","Male","Adult","No"
"1359","Crew","Male","Adult","No"
"1360","Crew","Male","Adult","No"
"1363","Crew","Male","Adult","No"
"1367","Crew","Male","Adult","No"
"1369","Crew","Male","Adult","No"
"1372","Crew","Male","Adult","No"
"1374","Crew","Male","Adult","No"
"1375","Crew","Male","Adult","No"
"1376","Crew","Male","Adult","No"
"1382","1st","Female","Adult","No"
"1390","2nd","Female","Adult","No"
"1395","2nd","Female","Adult","No"
"1397","2nd","Female","Adult","No"
"1410","3rd","Female","Adult","No"
"1412","3rd","Female","Adult","No"
"1413","3rd","Female","Adult","No"
"1420","3rd","Female","Adult","No"
"1424","3rd","Female","Adult","No"
"1427","3rd","Female","Adult","No"
"1433","3rd","Female","Adult","No"
"1436","3rd","Female","Adult","No"
"1438","3rd","Female","Adult","No"
"1444","3rd","Female","Adult","No"
"1447","3rd","Female","Adult","No"
"1452","3rd","Female","Adult","No"
"1459","3rd","Female","Adult","No"
"1460","3rd","Female","Adult","No"
"1465","3rd","Female","Adult","No"
"1468","3rd","Female","Adult","No"
"1470","3rd","Female","Adult","No"
"1474","3rd","Female","Adult","No"
"1488","Crew","Female","Adult","No"
"1491","1st","Male","Child","Yes"
"1496","2nd","Male","Child","Yes"
"1498","2nd","Male","Child","Yes"
"1500","2nd","Male","Child","Yes"
"1501","2nd","Male","Child","Yes"
"1508","3rd","Male","Child","Yes"
"1509","3rd","Male","Child","Yes"
"1514","3rd","Male","Child","Yes"
"1518","3rd","Male","Child","Yes"
"1519","3rd","Male","Child","Yes"
"1535","3rd","Female","Child","Yes"
"1536","3rd","Female","Child","Yes"
"1540","3rd","Female","Child","Yes"
"1546","3rd","Female","Child","Yes"
"1547","3rd","Female","Child","Yes"
"1549","1st","Male","Adult","Yes"
"1556","1st","Male","Adult","Yes"
"1558","1st","Male","Adult","Yes"
"1562","1st","Male","Adult","Yes"
"1566","1st","Male","Adult","Yes"
"1567","1st","Male","Adult","Yes"
"1573","1st","Male","Adult","Yes"
"1578","1st","Male","Adult","Yes"
"1581","1st","Male","Adult","Yes"
"1582","1st","Male","Adult","Yes"
"1595","1st","Male","Adult","Yes"
"1596","1st","Male","Adult","Yes"
"1610","2nd","Male","Adult","Yes"
"1614","2nd","Male","Adult","Yes"
"1615","2nd","Male","Adult","Yes"
"1620","3rd","Male","Adult","Yes"
"1621","3rd","Male","Adult","Yes"
"1625","3rd","Male","Adult","Yes"
"1630","3rd","Male","Adult","Yes"
"1636","3rd","Male","Adult","Yes"
"1639","3rd","Male","Adult","Yes"
"1645","3rd","Male","Adult","Yes"
"1648","3rd","Male","Adult","Yes"
"1657","3rd","Male","Adult","Yes"
"1659","3rd","Male","Adult","Yes"
"1661","3rd","Male","Adult","Yes"
"1662","3rd","Male","Adult","Yes"
"1666","3rd","Male","Adult","Yes"
"1672","3rd","Male","Adult","Yes"
"1679","3rd","Male","Adult","Yes"
"1692","3rd","Male","Adult","Yes"
"1704","Crew","Male","Adult","Yes"
"1710","Crew","Male","Adult","Yes"
"1715","Crew","Male","Adult","Yes"
"1724","Crew","Male","Adult","Yes"
"1726","Crew","Male","Adult","Yes"
"1729","Crew","Male","Adult","Yes"
"1736","Crew","Male","Adult","Yes"
"1742","Crew","Male","Adult","Yes"
"1754","Crew","Male","Adult","Yes"
"1756","Crew","Male","Adult","Yes"
"1759","Crew","Male","Adult","Yes"
"1761","Crew","Male","Adult","Yes"
"1762","Crew","Male","Adult","Yes"
"1767","Crew","Male","Adult","Yes"
"1769","Crew","Male","Adult","Yes"
"1772","Crew","Male","Adult","Yes"
"1778","Crew","Male","Adult","Yes"
"1786","Crew","Male","Adult","Yes"
"1793","Crew","Male","Adult","Yes"
"1796","Crew","Male","Adult","Yes"
"1800","Crew","Male","Adult","Yes"
"1803","Crew","Male","Adult","Yes"
"1812","Crew","Male","Adult","Yes"
"1817","Crew","Male","Adult","Yes"
"1818","Crew","Male","Adult","Yes"
"1820","Crew","Male","Adult","Yes"
"1826","Crew","Male","Adult","Yes"
"1833","Crew","Male","Adult","Yes"
"1835","Crew","Male","Adult","Yes"
"1838","Crew","Male","Adult","Yes"
"1852","Crew","Male","Adult","Yes"
"1853","Crew","Male","Adult","Yes"
"1854","Crew","Male","Adult","Yes"
"1858","Crew","Male","Adult","Yes"
"1861","Crew","Male","Adult","Yes"
"1872","Crew","Male","Adult","Yes"
"1880","Crew","Male","Adult","Yes"
"1885","Crew","Male","Adult","Yes"
"1886","1st","Female","Adult","Yes"
"1887","1st","Female","Adult","Yes"
"1893","1st","Female","Adult","Yes"
"1899","1st","Female","Adult","Yes"
"1901","1st","Female","Adult","Yes"
"1908","1st","Female","Adult","Yes"
"1911","1st","Female","Adult","Yes"
"1912","1st","Female","Adult","Yes"
"1915","1st","Female","Adult","Yes"
"1920","1st","Female","Adult","Yes"
"1921","1st","Female","Adult","Yes"
"1929","1st","Female","Adult","Yes"
"1933","1st","Female","Adult","Yes"
"1938","1st","Female","Adult","Yes"
"1939","1st","Female","Adult","Yes"
"1942","1st","Female","Adult","Yes"
"1943","1st","Female","Adult","Yes"
"1945","1st","Female","Adult","Yes"
"1948","1st","Female","Adult","Yes"
"1965","1st","Female","Adult","Yes"
"1974","1st","Female","Adult","Yes"
"1980","1st","Female","Adult","Yes"
"1995","1st","Female","Adult","Yes"
"1999","1st","Female","Adult","Yes"
"2019","1st","Female","Adult","Yes"
"2021","1st","Female","Adult","Yes"
"2025","1st","Female","Adult","Yes"
"2030","2nd","Female","Adult","Yes"
"2037","2nd","Female","Adult","Yes"
"2047","2nd","Female","Adult","Yes"
"2054","2nd","Female","Adult","Yes"
"2055","2nd","Female","Adult","Yes"
"2058","2nd","Female","Adult","Yes"
"2066","2nd","Female","Adult","Yes"
"2073","2nd","Female","Adult","Yes"
"2094","2nd","Female","Adult","Yes"
"2105","2nd","Female","Adult","Yes"
"2106","3rd","Female","Adult","Yes"
"2112","3rd","Female","Adult","Yes"
"2118","3rd","Female","Adult","Yes"
"2122","3rd","Female","Adult","Yes"
"2124","3rd","Female","Adult","Yes"
"2127","3rd","Female","Adult","Yes"
"2129","3rd","Female","Adult","Yes"
"2131","3rd","Female","Adult","Yes"
"2132","3rd","Female","Adult","Yes"
"2140","3rd","Female","Adult","Yes"
"2145","3rd","Female","Adult","Yes"
"2148","3rd","Female","Adult","Yes"
"2151","3rd","Female","Adult","Yes"
"2168","3rd","Female","Adult","Yes"
"2171","3rd","Female","Adult","Yes"
"2176","3rd","Female","Adult","Yes"
"2180","3rd","Female","Adult","Yes"
"2190","Crew","Female","Adult","Yes"
"2197","Crew","Female","Adult","Yes"
"2199","Crew","Female","Adult","Yes"
"2200","Crew","Female","Adult","Yes"
"2201","Crew","Female","Adult","Yes"
